"filename", "language", "JavaScript", "JavaScript JSX", "TypeScript", "XML", "SCSS", "comment", "blank", "total"
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/homeFormsConfig.js", "JavaScript", 125, 0, 0, 0, 0, 6, 4, 135
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/loginFormConfig.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/organizationFormConfig.js", "JavaScript", 79, 0, 0, 0, 0, 0, 3, 82
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/productFormConfig.js", "JavaScript", 92, 0, 0, 0, 0, 18, 3, 113
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/structureFormConfig.js", "JavaScript", 40, 0, 0, 0, 0, 1, 3, 44
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/userFormConfig.js", "JavaScript", 71, 0, 0, 0, 0, 0, 4, 75
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/homedatas.js", "JavaScript", 39, 0, 0, 0, 0, 3, 4, 46
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/hooks/hooks.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 2
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/main.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 4, 18
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/middlewares/entitiesMiddleware.js", "JavaScript", 124, 0, 0, 0, 0, 0, 6, 130
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/middlewares/homeformMiddleware.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/middlewares/userMiddleware.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/reducers/combinedReducers.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/reducers/entitiesReducer.js", "JavaScript", 71, 0, 0, 0, 0, 0, 5, 76
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/reducers/modalReducer.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/reducers/userReducer.js", "JavaScript", 22, 0, 0, 0, 0, 1, 4, 27
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/routes/routes.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 1, 3, 72
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/services/projectApi.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 7, 9, 184
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/store/store.js", "JavaScript", 27, 0, 0, 0, 0, 6, 8, 41
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/styles/_reset.scss", "SCSS", 0, 0, 0, 0, 147, 3, 10, 160
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/styles/_variables.scss", "SCSS", 0, 0, 0, 0, 18, 2, 7, 27
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/styles/index.scss", "SCSS", 0, 0, 0, 0, 6, 0, 2, 8
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/utils/entitySelector.js", "JavaScript", 19, 0, 0, 0, 0, 0, 2, 21
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 1016, 1653, 0, 4, 1093, 147, 450, 4363
